OrderID,OrderDate,ShipDate,CustomerName,Segment,Region,State,Category,SubCategory,ProductName,Sales,Quantity,Discount,Profit
ORD-10000,17-08-2022,18-08-2022,Customer_17,Consumer,East,Kolkata,Furniture,Chairs,Chairs Model 6,73778.89,9,0,14580.42
ORD-10001,24-03-2023,26-03-2023,Customer_302,Corporate,North,Chandigarh,Furniture,Bookcases,Bookcases Model 1,65163.5,9,0.15,-2925.18
ORD-10002,23-11-2022,27-11-2022,Customer_50,Corporate,East,Patna,Furniture,Chairs,Chairs Model 23,95742.7,6,0,7007.07
ORD-10003,26-06-2023,27-06-2023,Customer_186,Home Office,West,Ahmedabad,Furniture,Tables,Tables Model 13,8340.62,5,0.2,595.21
ORD-10004,23-05-2022,24-05-2022,Customer_187,Consumer,South,Chennai,Furniture,Chairs,Chairs Model 24,86715.12,7,0.1,5493.63
ORD-10005,29-12-2023,31-12-2023,Customer_84,Corporate,East,Bhubaneswar,Office Supplies,Paper,Paper Model 25,7604.55,3,0.2,245.49
ORD-10006,07-07-2023,12-07-2023,Customer_34,Consumer,South,Hyderabad,Technology,Phones,Phones Model 37,23290.28,1,0.1,1171.3
ORD-10007,07-10-2023,09-10-2023,Customer_276,Corporate,West,Pune,Office Supplies,Storage,Storage Model 48,14715.72,3,0.05,2740.76
ORD-10008,27-05-2024,01-06-2024,Customer_79,Home Office,West,Pune,Furniture,Chairs,Chairs Model 11,51197.87,2,0,13581.55
ORD-10009,14-05-2024,19-05-2024,Customer_6,Home Office,North,Lucknow,Technology,Accessories,Accessories Model 47,99614.08,9,0.1,19202.57
ORD-10010,23-08-2022,28-08-2022,Customer_370,Home Office,East,Bhubaneswar,Technology,Phones,Phones Model 17,29703.26,3,0.15,-2946.23
ORD-10011,22-10-2024,24-10-2024,Customer_83,Home Office,North,Chandigarh,Technology,Accessories,Accessories Model 50,51012.46,4,0.05,4768.57
ORD-10012,22-12-2024,23-12-2024,Customer_291,Consumer,East,Patna,Furniture,Chairs,Chairs Model 6,92945.31,5,0.05,1345.97
ORD-10013,22-09-2024,23-09-2024,Customer_311,Corporate,South,Bangalore,Office Supplies,Storage,Storage Model 14,94711.44,3,0.1,7758.61
ORD-10014,16-02-2023,19-02-2023,Customer_116,Consumer,West,Ahmedabad,Office Supplies,Storage,Storage Model 22,44090.96,9,0.15,-3075.3
ORD-10015,13-02-2022,18-02-2022,Customer_17,Corporate,South,Hyderabad,Furniture,Chairs,Chairs Model 5,7563.81,1,0.05,127.45
ORD-10016,18-11-2024,20-11-2024,Customer_243,Corporate,East,Bhubaneswar,Technology,Phones,Phones Model 13,54153.78,10,0.2,-1723.84
ORD-10017,13-07-2022,14-07-2022,Customer_373,Corporate,West,Pune,Technology,Laptops,Laptops Model 7,46968.95,1,0,3060.18
ORD-10018,25-05-2023,27-05-2023,Customer_39,Corporate,South,Hyderabad,Technology,Phones,Phones Model 36,42477.22,5,0.15,-1594.95
ORD-10019,20-07-2022,21-07-2022,Customer_31,Consumer,North,Delhi,Furniture,Chairs,Chairs Model 25,40938.2,8,0.05,8849.31
ORD-10020,05-01-2022,09-01-2022,Customer_152,Consumer,East,Patna,Technology,Laptops,Laptops Model 4,69810.85,9,0.15,-4279.46
ORD-10021,05-05-2022,08-05-2022,Customer_261,Consumer,North,Delhi,Office Supplies,Storage,Storage Model 12,50533.61,9,0.05,718.58
ORD-10022,21-05-2022,26-05-2022,Customer_21,Home Office,North,Chandigarh,Furniture,Tables,Tables Model 6,12428.72,10,0.05,1798.81
ORD-10023,08-05-2024,13-05-2024,Customer_344,Home Office,East,Patna,Furniture,Bookcases,Bookcases Model 20,71761.08,4,0.1,3512.45
ORD-10024,25-07-2024,28-07-2024,Customer_260,Corporate,North,Delhi,Technology,Accessories,Accessories Model 9,99846.22,2,0,18412.5
ORD-10025,16-12-2023,17-12-2023,Customer_335,Home Office,South,Chennai,Technology,Phones,Phones Model 1,44099.37,9,0.1,4538.68
ORD-10026,06-09-2023,07-09-2023,Customer_108,Home Office,South,Chennai,Furniture,Chairs,Chairs Model 22,74370.46,3,0.1,1520.06
ORD-10027,21-02-2023,24-02-2023,Customer_395,Consumer,West,Pune,Furniture,Chairs,Chairs Model 41,63611.3,5,0,3236.95
ORD-10028,21-06-2023,23-06-2023,Customer_354,Consumer,West,Ahmedabad,Office Supplies,Storage,Storage Model 35,56310.23,2,0,16119.52
ORD-10029,15-03-2022,18-03-2022,Customer_128,Home Office,South,Chennai,Furniture,Chairs,Chairs Model 7,31171.71,1,0.1,78.53
ORD-10030,26-12-2023,31-12-2023,Customer_91,Corporate,West,Ahmedabad,Office Supplies,Binders,Binders Model 2,92613.5,4,0.05,22602.46
ORD-10031,03-01-2023,06-01-2023,Customer_241,Consumer,West,Ahmedabad,Office Supplies,Binders,Binders Model 13,27047.17,2,0.15,3192.69
ORD-10032,31-07-2024,03-08-2024,Customer_36,Corporate,East,Kolkata,Furniture,Chairs,Chairs Model 23,66173.3,7,0.1,1300.36
ORD-10033,09-11-2024,13-11-2024,Customer_223,Corporate,East,Kolkata,Furniture,Tables,Tables Model 47,18267.5,5,0,1408.44
ORD-10034,05-10-2023,09-10-2023,Customer_276,Home Office,North,Lucknow,Office Supplies,Binders,Binders Model 47,25844.89,7,0,4651.57
ORD-10035,08-02-2023,11-02-2023,Customer_342,Corporate,West,Mumbai,Office Supplies,Storage,Storage Model 21,62503.96,2,0.1,4799.09
ORD-10036,04-04-2024,07-04-2024,Customer_208,Home Office,South,Bangalore,Technology,Accessories,Accessories Model 1,94066.19,3,0.2,-726.54
ORD-10037,15-09-2023,18-09-2023,Customer_110,Home Office,South,Chennai,Office Supplies,Paper,Paper Model 31,65643.21,8,0.15,691.88
ORD-10038,14-12-2022,15-12-2022,Customer_116,Consumer,East,Bhubaneswar,Office Supplies,Paper,Paper Model 10,62116.45,2,0.05,10447.92
ORD-10039,20-02-2022,21-02-2022,Customer_197,Corporate,South,Chennai,Office Supplies,Binders,Binders Model 26,45813.91,10,0.05,8227.56
ORD-10040,15-05-2023,17-05-2023,Customer_128,Consumer,North,Delhi,Technology,Phones,Phones Model 30,18000.72,9,0.15,-1574.08
ORD-10041,01-10-2022,05-10-2022,Customer_82,Home Office,East,Patna,Office Supplies,Paper,Paper Model 31,89256.02,7,0.2,-3438.28
